"Attribute","ValueDecode"
COLOUR,1;white;2;black;3;red;4;green;5;blue;6;yellow;7;grey;8;brown;9;amber,10,violet,11;orange;12;magenta;13;pink
COLPAT,1;horizontal stripes;2;vertical stripes;3;diagonal stripes;4;squared;5;stripes (direction unknown);6;border stripe
BUISHP,1;no specific shape;2;tower;3;spire;4;cupola (dome);5;high-rise building;6;pyramid;7;cylindrical;8;spherical;9;cubic
CATACH,1;unrestricted anchorage;2;deep water anchorage;3;tanker anchorage;4;explosives anchorage;5;quarantine anchorage;6;sea-plane anchorage;7;small craft anchorage;8;small craft mooring area;9;anchorage for periods up to 24 hours,10,anchorage for a limited period of time
CATBUA,1;urban area;2;settlement;3;village;4;town;5;city;6;holiday village
CATCAM,1;north cardinal mark;2;east cardinal mark;3;south cardinal mark;4;west cardinal mark
CATCHP,1;custom
CATCOA,1;steep coast;2;flat coast;3;sandy shore;4;stony shore;5;shingly shore;6;glacier (seaward end);7;mangrove;8;marshy shore;9;coral reef,10,ice coast,11;shelly shore
CATCTR,1;triangulation point;2;observation spot;3;fixed point;4;bench-mark;5;boundary mark;6;horizontal control, main station;7;horizontal control, secondary station
CATCON,1;aerial cableway (telepheric);2;belt conveyor
CATCOV,1;coverage available;2;no coverage available
CATCRN,1;crane without specific construction;2;container crane/gantry;3;sheerlegs;4;travelling crane;5;A-frame
CATDOC,1;tidal;2;non-tidal (wet dock)
CATDPG,1;general dumping ground;2;chemical waste dumping ground;3;nuclear waste dumping ground;4;explosives dumping ground;5;spoil ground;6;vessel dumping ground
CATFNC,1;fence;2;muir;3;hedge;4;wall
CATFIF,1;fishing stake;2;fish trap;3;fish weir;4;tunny net
CATFOG,1;explosive;2;diaphone;3;siren;4;nautophone;5;reed;6;tyfon;7;bell;8;whistle;9;gong,10,horn
CATFOR,1;castle;2;fort;3;battery;4;blockhouse;5;Martello tower;6;redoubt
CATGAT,1;gate in general;2;flood barrage gate;3;caisson;4;lock gate;5;dyke gate;6;sluice
CATHAF,1;RoRo-terminal;2;timber yard;3;ferry terminal;4;fishing harbour;5;yacht harbour/marina;6;naval base;7;tanker terminal;8;passenger terminal;9;shipyard,10,container terminal,11;bulk terminal;12;syncrolift;13;straddle carrier
CATHLK,1;floating restaurant;2;historic ship;3;museum;4;accommodation;5;floating breakwater
CATICE,1;fast ice;2;sea ice;3;growler area;4;pancake ice;5;glacier;6;ice peak;7;pack ice;8;polar ice
CATLND,1;fen;2;marsh;3;moor/bog;4;heathland;5;mountain range;6;lowlands;7;canyon lands;8;paddy field;9;agricultural land,10,savanna/grassland,11;parkland;12;swamp;13;landslide;14;lava flow;15;salt pan;16;moraine;17;crater;18;cave;19;rock column or pinnacle,20,cay
CATLMK,1;cairn;2;cemetery;3;chimney;4;dish aerial;5;flagstaff (flagpole);6;flare stack;7;mast;8;windsock;9;monument,10,column (pillar),11;memorial plaque;12;obelisk;13;statue;14;cross;15;dome;16;radar scanner;17;tower;18;windmill;19;windmotor,20,spire/minaret,21;large rock or boulder on land
CATLIT,1;directional function;2;rear/upper light;3;front/lower light;4;leading light;5;aero light;6;air obstruction light;7;fog detector light;8;flood light;9;strip light;10;subsidiary light;11;spotlight;12;front;13;rear;14;lower;15;upper;16;moire effect;17;emergency;18;bearing light;19;horizontally disposed;20;vertically disposed
CATMFA,1;crustaceans;2;oysters/mussels;3;fish;4;seaweed;5;pearl culture farm
CATMPA,1;practice area in general;2;torpedo exercise area;3;submarine exercise area;4;firing danger area;5;mine-laying practice area;6;small arms firing range
CATMOR,1;dolphin;2;deviation dolphin;3;bollard;4;tie-up wall;5;post or pile;6;chain/wire/cable;7;mooring buoy
CATNAV,1;clearing line;2;transit line;3;leading line bearing a recommended track
CATOBS,1;snag/stump;2;wellhead;3;diffuser;4;crib;5;fish haven;6;foul area;7;foul ground;8;ice boom;9;ground tackle,10,boom
CATOFP,1;oil derrick/rig;2;production platform;3;observation/research platform;4;articulated loading platform (ALP);5;single anchor leg mooring (SALM);6;mooring tower;7;artificial island;8;floating production, storage and off-loading vessel (FPSO);9;accommodation platform,10,navigation, communication and control buoy (NCCB)
CATPLE,1;stake;2;snag;3;post;4;tripodal
CATPIL,1;boarding by pilot-cruising vessel;2;boarding by helicopter;3;pilot comes out from shore
CATPRA,1;quarry;2;mine;3;stockpile;4;power station area;5;refinery area;6;timber yard;7;factory area;8;tank farm;9;wind farm,10,slag heap/spoil heap
CATPYL,1;power transmission pylon/pole;2;telephone/telegraph pylon/pole;3;aerial cableway/sky pylon;4;bridge pylon/tower;5;bridge pier
CATRTB,1;ramark, radar beacon transmitting continuously;2;racon, radar transponder beacon;3;leading racon/radar transponder beacon
CATROS,1;circular (non-directional) marine or,aero-marine radiobeacon;2;directional radiobeacon;3;rotating-pattern radiobeacon;4;Consol beacon;5;radio direction-finding station;6;coast radio station providing QTG service;7;aeronautical radiobeacon;8;Decca;9;Loran C,10,Differential GPS,11;Toran;12;Omega;13;Syledis;14;Chaika (Chayka)
CATTRK,1;based on a system of fixed marks;2;not based on a system of fixed marks
CATRSC,1;rescue station with lifeboat;2;rescue station with rocket;3;rescue station with lifeboat and rocket;4;refuge for shipwrecked mariners;5;refuge for intertidal area walkers;6;lifeboat lying at a mooring;7;aid radio station;8;first aid equipment
CATREA,1;offshore safety zone;2;anchoring prohibition area;3;fishing prohibition area;4;nature reserve;5;bird sanctuary;6;game reserve;7;seal sanctuary;8;degaussing range;9;military area,10,historic wreck area,11;inshore traffic zone;12;navigational aid safety zone;13;danger of stranding area;14;minefield;15;diving prohibition area;16;area to be avoided;17;Prohibited area;18;swimming area;19;waiting area,20,research area,21;dredging area,22,fish sanctuary,23,ecological reserve,24,no wake area,25,swinging area,26,water skiing area
CATROD,1;motorway;2;major road;3;minor road;4;track/path;5;major street;6;minor street;7;crossing
CATRUN,1;aeroplane runway;2;helicopter landing pad
CATSEA,1;sea area in general;2;gat;3;bank;4;deep;5;bay;6;trench;7;basin;8;mud flats;9;reef;10;ledge;11;canyon;12;narrows;13;shoal;14;knoll;15;ridge;16;seamount;17;pinnacle;18;abyssal plain;19;plateau;20;spur;21;shelf;22;trough;23;saddle;24;abyssal hills;25;apron;26;archipelagic apron;27;borderland;28;continental margin;29;continental rise;30;escarpment;31;fan;32;fracture zone;33;gap;34;guyot;35;hill;36;hole;37;levee;38;median valley;39;moat;40;mountains;41;peak;42;province;43;rise;44;sea channel;45;seamount chain;46;shelf-edge;47;sill;48;slope;49;terrace;50;valley;51;canal;52;lake;53;river;54;reach
